"word","n"
"#gaymarriage",100546
"#ssm",85581
"#samesexmarriage",51957
"#lgbt",15832
"#auspol",12187
"#scotus",10110
"#gay",7678
"#tcot",7611
"#lovewins",7219
"#equality",5662
"#supremecourt",5413
"#marriageequality",5299
"#uniteblue",4848
"#plebiscite",4834
"#marriage",4240
"#communism",3384
"#loveislove",3111
"#love",2864
"#god",2702
"#christian",2676
"#gayrights",2652
"#marketing",2601
"#lgbtq",2473
"#immigration",2458
"#news",2422
"#nafta",2327
"#nwo",2325
"#agenda21",2308
"#freetrade",2294
"#ireland",2181
"#abortion",2171
"#jews",2154
"#socialmedia",2017
"#business",1900
"#social",1772
"#illegalimmigration",1740
"#jew",1703
"#usa",1644
"#alabama",1628
"#pride",1586
"#church",1578
"#us",1560
"#scotusmarriage",1558
"#ccot",1551
"#hbo",1541
"#kimdavis",1541
"#religion",1500
"#comedy",1422
"#lastweektonight",1339
"#johnoliver",1303
"#equalityforall",1302
"#america",1293
"#entrepreneur",1280
"#marriageequaility",1279
"#snapchat",1253
"#food",1247
"#foodie",1234
"#bbq",1229
"#lesbians",1205
"#busienss",1197
"#pornography",1154
"#homosexuality",1150
"#atheist",1148
"#equalrights",1123
"#women",1113
"#gaypride",1103
"#seo",1079
"#men",1076
"#porn",1072
"#naked",1054
"#obama",1031
"#obamacare",1031
"#law",1017
"#meusa",988
"#catholic",970
"#jesus",945
"#thedrum",925
"#lgbtrights",916
"#christians",903
"#abbott",892
"#lesbian",889
"#wedding",871
"#salesexecutive",855
"#saludsexual",855
"#samesexsundays",855
"#satk",855
"#saudisex",855
"#scandalatl",855
"#sdkidsexpo",855
"#homosexual",845
"#salesexec",823
"#lgbti",822
"#texas",790
"#gop",783
"#marref",779
"#samesex",750
"#gaydating",721
"#equalmarriage",717
"#humanrights",710
"#p2",707
"#qanda",688
"#turnbull",685
"#logo",662
"#network",658
"#ausvotes",641
"#australia",634
"#florida",618
"#lnp",611
"#insiders",598
"#gaywedding",593
"#dating",589
"#lbgt",584
"#relationships",565
"#donaldtrump",563
"#hollywood",560
"#openborders",546
"#queer",534
"#txlege",534
"#divorce",531
"#taiwan",525
"#kentucky",519
"#noh8",511
"#civilrights",504
"#germany",496
"#superstarsmtown",495
"#samelove",493
"#writing",485
"#legal",483
"#writers",483
"#bigotry",469
"#family",449
"#qt",439
"#abcnews24",433
"#politics",432
"#trans",427
"#prolife",424
"#federalreserve",423
"#weddings",420
"#tedcruz",419
"#abortionismurder",417
"#africa",417
"#bible",416
"#climatechange",415
"#teaparty",409
"#gopdebate",400
"#anticatholic",399
"#bluebloods",399
"#islam",398
"#election2016",396
"#constitution",394
"#obergefell",390
"#aca",389
"#gaylove",387
"#religiousfreedom",374
"#confederateflag",372
"#concorsonazionale",371
"#foxnews",370
"#marriagegreencard",361
"#binational",360
"#married",358
"#fem2",356
"#religiousliberty",355
"#glaad",354
"#qwoc",354
"#pjnet",353
"#alpolitics",350
"#prochoice",350
"#socialselling",350
"#gsa",346
"#getequal",344
"#lgbtfams",344
"#mywana",343
"#plz",329
"#referendum",321
"#gaymer",319
"#polygamy",319
"#rainbow",317
"#freedom",310
"#gays",310
"#voteyes",309
"#amwriting",308
"#gaycouple",304
"#homophobia",304
"#counseling",303
"#potus",303
"#relationshipadvice",303
"#couplesretreat",300
"#couplestherapy",300
"#christianity",298
"#vacations",298
"#trump",296
"#vegas",293
"#alp",291
"#digitalmarketing",291
"#breaking",287
"#gayman",282
"#marriagequality",280
"#popefrancis",278
"#facebook",275
"#nyvalues",270
"#abc730",268
"#roymoore",268
"#marriagelicenses",267
"#eventplanning",265
"#gaynerd",265
"#history",256
"#libertarians",256
"#ussupremecourt",256
"#cuddlemegay",253
"#sales",252
"#tlot",252
"#welfarestate",247
"#pride2015",245
"#counterfiet",244
"#jpii",244
"#medicina",243
"#libspill",241
"#michoacan",240
"#transgender",239
"#music",237
"#rovetard",237
"#familyfirst",236
"#salud",236
"#ugandan",236
"#voav",236
"#glbt",234
"#irelandvoteyes",234
"#irish",232
"#editing",225
"#grammar",224
"#writingtools",224
"#traditionalmarriage",222
"#cho",221
"#finally",220
"#gaymarriages",217
"#irs",217
"#gaygemini",215
"#usworld",213
"#republicans",212
"#progress",211
"#superstarsm",211
"#isis",210
"#rights",210
"#michoacán",206
"#doma",204
"#omow",204
"#philippines",204
"#rfra",203
"#happy",202
"#lgbtyranny",200
"#truelove",200
"#marijuana",198
"#gender",197
"#canada",196
"#protestantism",194
"#hillaryclinton",192
"#yes",191
"#mystery",189
"#alz",187
"#nicolaitans",187
"#seaglasssalvagemarket",187
"#yesequality",186
"#mexico",185
"#marriagecontrol",183
"#thingsthatshouldbeillegal",180
"#lgbtcommunity",179
"#society",178
"#instagay",176
"#lovecantwait",175
"#discrimination",174
"#friends",174
"#gayink",172
"#socialmediamarketing",172
"#support",171
"#wakeupamerica",170
"#gayboy",169
"#mg",169
"#sfc",169
"#ehefueralle",166
"#che",165
"#barackobama",163
"#hillary",161
"#marriagelicense",161
"#proud",161
"#smallbiz",160
"#culture",159
"#finland",159
"#gaytravel",158
"#nebraska",157
"#republican",157
"#sydneymardigras",155
"#china",154
"#saultstemarie",154
"#faith",153
"#npc",153
"#whitehouse",153
"#leftism",152
"#euthanasia",151
"#lovewon",150
"#np",150
"#truth",150
"#lgbtrrights",149
"#michigan",149
"#michaelsam",148
"#onelove",147
"#respectfuldebate",147
"#blacklivesmatter",146
"#hillary2016",146
"#gaysingle",145
"#groundgame",144
"#huffpostgay",144
"#nyc",144
"#vote",143
"#atn",142
"#liberal",142
"#video",142
"#boys",141
"#courageous",141
"#ltr",141
"#noplebiscite",141
"#repost",141
"#healthcare",140
"#libcrib",139
"#guncontrol",138
"#tau",138
"#world",136
"#art",135
"#bill89",135
"#gaylife",135
"#samesexwedding",135
"#tpp",135
"#legalized",134
"#mississippi",134
"#northcarolina",134
"#scalia",134
"#pridemonth",133
"#professional",133
"#advice",132
"#obergefellvhodges",132
"#ecb",131
"#cathywilcox1",130
"#singlegay",130
"#conservative",129
"#twitter",129
"#bencarson",128
"#bi",128
"#conservatives",128
"#ido",127
"#lgbtinstagram",127
"#prop8",127
"#italy",126
"#mikehuckabee",126
"#proudtolove",126
"#antigay",125
"#bermuda",125
"#california",125
"#children",125
"#dau",125
"#lateline",125
"#plebiscites",124
"#amorgay",123
"#friendship",123
"#slovenia",123
"#youtube",123
"#amordelbueno",122
"#diddy",122
"#states",122
"#all50",121
"#hrc",121
"#relationsships",121
"#rickross",121
"#smallminded",121
"#tatertits",121
"#atheism",120
"#democrats",120
"#benefits",119
"#fb",119
"#racism",118
"#besogay",117
"#kentuckyclerk",117
"#merito",117
"#breakingnews",115
"#safeschools",115
"#supremecourtruling",115
"#valorizziamo",114
"#engagement",113
"#funny",113
"#lgbtqia",113
"#periscope",113
"#victory",113
"#bisexual",112
"#equal",112
"#miami",112
"#southcarolina",112
"#huckabee",111
"#instagram",111
"#contentmarketing",110
"#pcusa",110
"#sotu",110
"#almarriage",109
"#anglican",109
"#gayagenda",109
"#legalize",109
"#redistricting",108
"#arkansas",107
"#gaymarriage>",107
"#gayweddings",107
"#ucap",107
"#eu",106
"#lol",106
"#stoprush",106
"#unitedstates",106
"#chastity",105
"#congratulations",105
"#cutelove",105
"#happypride",105
"#indiana",105
"#jebbush",105
"#loveislouder",105
"#calliegranade",104
"#merkel",104
"#queermoney",104
"#tennessee",104
"#acl",103
