source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2019-03-04,"""Today, the Democrat Party is drifting further to the extreme left than ever before, and the American people deserve an open and honest debate applying that same level of scrutiny to the radical policies Democrats are running on in the 2020 presidential election.""",10K,9.1K,272,748,36,16,47,1290,/story.php?story_fbid=10162237425640725&id=153080620724
Donald J. Trump,,2019-03-04,"President Donald J. Trump’s schedule for Monday, March 4th: -Participate in a photo opportunity with the 2018 Division I FCS National Champions: The North Dakota State Bison -Lunch with the Vice President -Receive intelligence briefing -Sign Executive Order on “Supporting the Transition of Active Duty Service Members and Military Veterans into the Merchant Marine” -Deliver remarks at the National Association of Attorneys General",8.6K,7.2K,216,1.1K,30,4,11,1678,/story.php?story_fbid=10162236757445725&id=153080620724
Donald J. Trump,,2019-03-04,It was my great honor to speak at CPAC. This is the future of our historic MOVEMENT!,9.2K,7.2K,242,1.7K,11,7,31,1521,/story.php?story_fbid=10162237327970725&id=153080620724
Donald J. Trump,,2019-03-04,"Socialism will NEVER Make America Great. Thank you, Ivanka!",12K,10K,439,1.7K,21,7,30,2037,/story.php?story_fbid=10162237509620725&id=153080620724
Donald J. Trump,,2019-03-03,Happy National Anthem Day!,125K,101K,1.3K,22K,146,23,57,6789,/story.php?story_fbid=10162233250960725&id=153080620724
Donald J. Trump,,2019-03-02,"""Add a new company to the list of “big tech” entities that have promised to cut off conservatives: PayPal.""",16K,7.6K,351,244,1.5K,325,6.1K,3010,/story.php?story_fbid=10162222220090725&id=153080620724
Donald J. Trump,,2019-03-02,"President Donald J. Trump's schedule for Saturday, March 2nd: -Deliver remarks at the Conservative Political Action Conference",11K,9.4K,359,1.6K,29,10,37,2223,/story.php?story_fbid=10162227048790725&id=153080620724
Donald J. Trump,,2019-03-04,I am working hard for our great American farmers!,9.9K,8K,294,1.5K,28,6,13,1163,/story.php?story_fbid=10162237744125725&id=153080620724
Donald J. Trump,,2019-03-02,This week my administration recognized the extraordinary contributions of African Americans to American life and we vowed to help bring freedom back to Venezuela!,11K,9.8K,320,1.6K,33,8,44,2210,/story.php?story_fbid=10162227165620725&id=153080620724
Donald J. Trump,,"Yesterday,at,6:34,AM",We are putting Americans back to work!,39K,34K,441,4.6K,66,8,29,2788,/story.php?story_fbid=10162232623110725&id=153080620724
Donald J. Trump,,2019-03-01,I am not going to sign a deal for the sake of signing a deal. We need an agreement that works and is good for the country!,21K,18K,396,2.9K,35,4,26,2390,/story.php?story_fbid=10162225252305725&id=153080620724
Donald J. Trump,,2019-03-01,"Despite the radical Democrats and their far-left proposals, America will NEVER be a socialist country!",21K,17K,720,3.2K,69,12,49,3750,/story.php?story_fbid=10162226243440725&id=153080620724
